,user,activity,XAVG,YAVG,ZAVG,XSTANDDEV,YSTANDDEV,ZSTANDDEV,XABSOLVDEV,YABSOLVDEV,ZABSOLVDEV,XPEAK,YPEAK,ZPEAK
0,33,Jogging,-0.16923282557999994,8.404367472699999,1.76049804305,4.059769924320083,8.188675565874114,8.188675565874114,3.2725745665735997,7.209305907846,4.002815871949999,1645004250.0,1645004250.0,1645004250.0
0,33,Jogging,-0.52050159573,8.3481835282,1.40848015,4.18081473162804,8.43913889606906,8.43913889606906,3.2809755936116005,7.373397046236001,4.167962584,2392486500.0,2392486500.0,2392486500.0
0,33,Jogging,-0.9378971454999998,8.1059456547,1.4787611622299999,4.470111914196058,8.389034880268087,8.389034880268087,3.4664193546749997,7.279554893035001,4.19043617077,2392486500.0,2392486500.0,2392486500.0
0,33,Jogging,-0.7319574905499999,8.003929265750001,1.5683149437299997,4.934387825675347,8.423437309360569,8.423437309360569,3.8769856607995,7.222841804565,4.1194455621446,-2882492000.0,-2882492000.0,-2882492000.0
0,33,Jogging,-0.6977023181000002,7.6179286294,1.4278891605800001,5.394756530525613,8.207617865955676,8.207617865955676,4.236346944267,6.879694186482001,4.0493511639968,512504500.0,512504500.0,512504500.0
0,33,Jogging,-0.7281437890000001,7.5278300313,1.85304830885,5.4223299495500665,8.19585222558392,8.19585222558392,4.3191675065099995,6.879877381952,3.8531827429730003,512504500.0,512504500.0,512504500.0
0,33,Jogging,-0.38457050740000015,7.6281438694,1.83588666064,5.61504753174236,8.283314107743891,8.283314107743891,4.487924296418,6.982690568988001,4.001858365115201,-657501250.0,-657501250.0,-657501250.0
0,33,Jogging,-0.4716726537,7.8214846957,1.73346165164,5.614855028435607,8.214183476173146,8.214183476173146,4.409113582548,6.920090088127999,4.1984136107124,-314995000.0,-314995000.0,-314995000.0
0,33,Walking,-0.09650015284000006,9.6140586913,0.45941433388999997,2.9016893837974744,4.965287661919047,4.965287661919047,2.292566723402,4.143699325613,2.4659939227546,295005750.0,295005750.0,295005750.0
0,33,Walking,-0.4876084420000001,9.30385525955,0.39342374777000005,2.843450884750093,5.010077904531518,5.010077904531518,2.1987599808800002,4.280931837854499,2.4750589436954997,1385002000.0,1385002000.0,1385002000.0
0,33,Walking,-0.7071003483000001,9.573538139300002,0.42441004507,2.824924851021133,4.851130791484374,4.851130791484374,2.1454063473960003,4.152126222913999,2.4794317599426003,937507500.0,937507500.0,937507500.0
0,33,Walking,-0.8774228053500002,9.5109525998,0.39444527617999997,2.831684300724405,4.772212308681955,4.772212308681955,2.152385415406,4.093380288204,2.3635825363706,-4667495750.0,-4667495750.0,-4667495750.0
0,33,Walking,-0.99196992893,9.6957125823,0.49809611393,2.9160651374833853,4.629909049583262,4.629909049583262,2.2655568821202,3.9312715835849996,2.3999978937132,-1150001500.0,-1150001500.0,-1150001500.0
0,33,Walking,-1.0596630562499998,9.89926867,0.41875758679999997,3.061346435343909,4.707198429562438,4.707198429562438,2.4243129338125,4.0041915099,2.4445997614280004,1337501500.0,1337501500.0,1337501500.0
0,33,Walking,-1.14220236435,9.689106716,0.3621650336199999,3.0771511726287515,4.643867295495373,4.643867295495373,2.4378706304415,3.9493056068399994,2.2766138699039997,1337501500.0,1337501500.0,1337501500.0
0,33,Walking,-1.08404347098,9.7412045815,0.38198264300000007,3.001622859238177,4.630963883321252,4.630963883321252,2.3951558529886,3.8943448168700003,2.3280810873799997,240043750.0,240043750.0,240043750.0
